roi,spearman_rho,p_value,abs_rho
L_S_orbital_lateral,0.4130434782608696,0.00041996375048963884,0.4130434782608696
L_G_front_sup,0.41278772378516626,0.00042378958410975323,0.41278772378516626
L_G_front_inf-Opercular,0.4056265984654732,0.000544712995934927,0.4056265984654732
L_S_interm_prim-Jensen,0.40387285348922186,0.0005787597515949964,0.40387285348922186
L_G_front_inf-Orbital,0.40336134453781514,0.0005890485340611125,0.40336134453781514
L_G_front_inf-Triangul,0.3999269272926562,0.000662551816809326,0.3999269272926562
R_G_front_inf-Orbital,0.37058823529411766,0.0017213659964385617,0.37058823529411766
R_G_front_sup,0.35089514066496164,0.0031153711360517324,0.35089514066496164
L_G_temporal_middle,0.3417975886006577,0.004047585783347673,0.3417975886006577
L_Lat_Fis-ant-Horizont,0.3372670807453416,0.004598210070073305,0.3372670807453416
L_G_orbital,0.3149433686518086,0.00839480755712754,0.3149433686518086
L_S_temporal_sup,0.31344537815126056,0.008727355602207693,0.31344537815126056
L_G_front_middle,0.30200949945195477,0.01166765755321993,0.30200949945195477
R_Pole_temporal,0.28918523931311657,0.015952284313081936,0.28918523931311657
R_G_temporal_middle,0.279941541834125,0.01982323730090235,0.279941541834125
L_G_pariet_inf-Supramar,0.2774570697844355,0.020991069278041556,0.2774570697844355
L_G_temp_sup-Lateral,0.2773839970770917,0.02102628578588692,0.2773839970770917
L_Pole_temporal,0.27248812568505665,0.023503232875339675,0.27248812568505665
R_G_orbital,0.2653270003653636,0.02756922460750927,0.2653270003653636
L_G_pariet_inf-Angular,0.26397515527950316,0.028399798758840685,0.26397515527950316
